1938,You Can't Take It with You
1938,The Great Waltz
1938,Carl J. Weyl
1938,Lyle Wheeler
1938,"Bernard Herzbrun, Boris Leven"
1938,Alexander Toluboff
1938,Van Nest Polglase
1938,Richard Day
1938,"Stephen Goosson, Lionel Banks"
1938,"Hans Dreier, John Goodman"
1938,Jack Otterson
1938,Cedric Gibbons
1938,Charles D. Hall
1938,James Wong Howe
1938,"Ernest Miller, Harry Wild"
1938,Victor Milner
1938,Joseph Ruttenberg
1938,Ernest Haller
1938,Joseph Valentine
1938,Norbert Brodine
1938,Peverell Marley
1938,Robert de Grasse
1938,Joseph Walker
1938,Leon Shamroy
1938,Michael Curtiz
1938,Norman Taurog
1938,King Vidor
1938,Frank Capra
1938,Ralph Dawson
1938,Barbara McLean
1938,Tom Held
1938,Gene Havlick
1938,Erich Wolfgang Korngold
1938,Victor Young
1938,Marvin Hatley
1938,Werner Janssen
1938,Alfred Newman
1938,Richard Hageman
1938,Herbert Stothart
1938,Russell Bennett
1938,Louis Silvers
1938,Franz Waxman
1938,Victor Baravalle
1938,"Morris Stoloff, Gregory Stone"
1938,Max Steiner
1938,"Charles Previn, Frank Skinner"
1938,Cy Feuer
1938,Boris Morros
1938,Music by Edward Ward; Lyrics by Chet Forrest and Bob Wright
1938,Music and Lyrics by Irving Berlin
1938,Music by Lionel Newman; Lyrics by Arthur Quenzer
1938,Music and Lyrics by Johnny Marvin
1938,Music by Harry Warren; Lyrics by Johnny Mercer
1938,Music by Phil Charig; Lyrics by Arthur Quenzer
1938,Music by Ben Oakland; Lyrics by Oscar Hammerstein II
1938,Music by Jimmy McHugh; Lyrics by Harold Adamson
1938,Music by Ralph Rainger; Lyrics by Leo Robin
1938,Warner Brothers-First National
1938,20th Century-Fox
1938,Metro-Goldwyn-Mayer
1938,Realization D'Art Cinematographique
1938,Warner Brothers
1938,Columbia
1938,"Walt Disney, Producer"
1938,Paramount
1938,"Republic Studio Sound Department, Charles L. Lootens, Sound Director"
1938,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director"
1938,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director"
1938,"Paramount Studio Sound Department, Loren L. Ryder, Sound Director"
1938,"Hal Roach Studio Sound Department, Elmer A. Raguse, Sound Director"
1938,"20th Century-Fox Studio Sound Department, Edmund H. Hansen, Sound Director"
1938,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
1938,"Universal Studio Sound Department, Bernard B. Brown, Sound Director"
1938,"RKO Radio Studio Sound Department, John Aalberg, Sound Director"
1938,"Columbia Studio Sound Department, John Livadary, Sound Director"
1938,Irving Berlin
1938,Rowland Brown
1938,John Howard Lawson
1938,"Dore Schary, Eleanore Griffin"
1938,"Marcella Burke, Frederick Kohner"
1938,Frank Wead
1938,"John Meehan, Dore Schary"
1938,"Ian Dalrymple, Frank Wead, Elizabeth Hill"
1938,"Julius J. Epstein, Lenore Coffee"
1938,"Screenplay and Dialogue by George Bernard Shaw; Adaptation by W. P. Lipscomb, Cecil Lewis, Ian Dalrymple"
1938,Robert Riskin
1938,
1938,Snow White and the Seven Dwarfs
1938,Sweethearts
1939,"Goodbye, Mr. Chips"
1939,Gone with the Wind
1939,Wuthering Heights
1939,Babes in Arms
1939,Mr. Smith Goes to Washington
1939,Juarez
1939,Beau Geste
1939,Stagecoach
1939,Dark Victory
1939,Love Affair
1939,Ninotchka
1939,Drums along the Mohawk
1939,"Hans Dreier, Robert Odell"
1939,Charles D. Hall
1939,"Jack Otterson, Martin Obzina"
1939,Lyle Wheeler
1939,"Van Nest Polglase, Al Herman"
1939,John Victor Mackay
1939,Lionel Banks
1939,Anton Grot
1939,"William Darling, George Dudley"
1939,Alexander Toluboff
1939,"Cedric Gibbons, William A. Horning"
1939,James Basevi
1939,Joseph Valentine
1939,Victor Milner
1939,Joseph H. August
1939,Gregg Toland
1939,Tony Gaudio
1939,George Folsey
1939,Norbert Brodine
1939,Joseph Walker
1939,Arthur Miller
1939,Bert Glennon
1939,"Ray Rennahan, Bert Glennon"
1939,"Georges Perinal, Osmond Borradaile"
1939,"Ernest Haller, Ray Rennahan"
1939,"William V. Skall, Bernard Knowles"
1939,"Sol Polito, W. Howard Greene"
1939,Hal Rosson
1939,Victor Fleming
1939,Sam Wood
1939,Frank Capra
1939,John Ford
1939,William Wyler
1939,"Hal C. Kern, James E. Newcom"
1939,Charles Frend
1939,"Gene Havlick, Al Clark"
1939,Barbara McLean
1939,"Otho Lovering, Dorothy Spencer"
1939,Max Steiner
1939,Werner Janssen
1939,Victor Young
1939,"Lud Gluskin, Lucien Moraweck"
1939,Anthony Collins
1939,Aaron Copland
1939,Alfred Newman
1939,Herbert Stothart
1939,"George E. Stoll, Roger Edens"
1939,Charles Previn
1939,"Phil Boutelje, Arthur Lange"
1939,Lou Forbes
1939,Dimitri Tiomkin
1939,Erich Wolfgang Korngold
1939,Cy Feuer
1939,"Richard Hageman, Frank Harling, John Leipold, Leo Shuken"
1939,Louis Silvers
1939,Music by Ralph Rainger; Lyrics by Leo Robin
1939,Music and Lyrics by Irving Berlin
1939,Music by Harold Arlen; Lyrics by E. Y. Harburg
1939,Music and Lyrics by Buddy de Sylva
1939,Warner Brothers-First National
1939,Selznick International Pictures
1939,Metro-Goldwyn-Mayer
1939,RKO Radio
1939,Columbia
1939,Hal Roach (production company)
1939,Walter Wanger (production company)
1939,Samuel Goldwyn Productions
1939,Warner Brothers
1939,"Walt Disney, Producer"
1939,Paramount
1939,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
1939,"Samuel Goldwyn Studio Sound Department, Thomas T. Moulton, Sound Director"
1939,"Denham Studio Sound Department, A. W. Watkins, Sound Director"
1939,"Paramount Studio Sound Department, Loren L. Ryder, Sound Director"
1939,"RKO Radio Studio Sound Department, John Aalberg, Sound Director"
1939,"Republic Studio Sound Department, Charles L. Lootens, Sound Director"
1939,"Columbia Studio Sound Department, John Livadary, Sound Director"
1939,"Hal Roach Studio Sound Department, Elmer A. Raguse, Sound Director"
1939,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director"
1939,"20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director"
1939,"Universal Studio Sound Department, Bernard B. Brown, Sound Director"
1939,"John R. Cosgrove, Fred Albin, Arthur Johns"
1939,"Roy Davidson, Edwin C. Hahn"
1939,"Byron Haskin, Nathan Levinson"
1939,"Fred Sersen, E. H. Hansen"
1939,Roy Seawright
1939,"Farciot Edouart, Gordon Jennings, Loren Ryder"
1939,"A. Arnold Gillespie, Douglas Shearer"
1939,Felix Jackson
1939,"Mildred Cram, Leo McCarey"
1939,Lewis R. Foster
1939,Melchior Lengyel
1939,Lamar Trotti
1939,Sidney Howard
1939,"R. C. Sherriff, Claudine West, Eric Maschwitz"
