1935,Captain Blood ,"Warner Brothers-First National Studio Music Department, Leo Forbstein, head of department  (Score by Erich Wolfgang Korngold) [Third]"
1935,The Informer ,"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner)"
1935,Mutiny on the Bounty ,"Metro-Goldwyn-Mayer Studio Music Department, Nat W. Finston, head of department  (Score by Herbert Stothart) [Second]"
1935,Peter Ibbetson ,"Paramount Studio Music Department, Irvin Talbot, head of department  (Score by Ernst Toch)"
1935,"""Cheek To Cheek"" from Top Hat",Music and Lyrics by Irving Berlin [Second]
1935,"""Lovely To Look At"" from Roberta",Music by Jerome Kern; Lyrics by Dorothy Fields and Jimmy McHugh [Third]
1935,"""Lullaby Of Broadway"" from Gold Diggers of 1935",Music by Harry Warren; Lyrics by Al Dubin
1935,Alice Adams ,RKO Radio
1935,Broadway Melody of 1936 ,Metro-Goldwyn-Mayer
1935,Captain Blood ,Cosmopolitan [Third]
1935,David Copperfield ,Metro-Goldwyn-Mayer
1935,The Informer ,RKO Radio [Second]
1935,Les Miserables ,20th Century
1935,The Lives of a Bengal Lancer ,Paramount
1935,A Midsummer Night's Dream ,Warner Brothers
1935,Mutiny on the Bounty ,Metro-Goldwyn-Mayer
1935,Naughty Marietta ,Metro-Goldwyn-Mayer
1935,Ruggles of Red Gap ,Paramount
1935,Top Hat ,RKO Radio
1935,The Calico Dragon ,Harman-Ising [Third]
1935,Three Orphan Kittens ,"Walt Disney, Producer"
1935,Who Killed Cock Robin? ,"Walt Disney, Producer [Second]"
1935,How to Sleep ,"Jack Chertok, Producer"
1935,"Oh, My Nerves ","Jules White, Producer [Second]"
1935,Tit for Tat ,"Hal Roach, Producer [Third]"
1935,Audioscopiks ,"Pete Smith, Producer [tied for 2nd]"
1935,Camera Thrills ,Universal [tied for 2nd]
1935,Wings over Mt. Everest ,Gaumont British and Skibo Productions
1935,Bride of Frankenstein ,"Universal Studio Sound Department, Gilbert Kurland, Sound Director"
1935,Captain Blood ,"Warner Brothers-First National Studio Sound Department, Nathan Levinson, Sound Director [Second]"
1935,The Dark Angel ,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director"
1935,I Dream Too Much ,"RKO Radio Studio Sound Department, Carl Dreher, Sound Director"
1935,The Lives of a Bengal Lancer ,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director [Third]"
1935,Love Me Forever ,"Columbia Studio Sound Department, John Livadary, Sound Director"
1935,Naughty Marietta ,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
1935,"$1,000 a Minute ",Republic Studio Sound Department
1935,Thanks a Million ,"20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director"
1935,Broadway Melody of 1936 ,Moss Hart [Third]
1935,G-Men ,Gregory Rogers [Second]
1935,The Gay Deception ,"Don Hartman, Stephen Avery"
1935,The Scoundrel ,"Ben Hecht, Charles MacArthur"
1935,Captain Blood ,Casey Robinson [Third]
1935,The Informer ,Dudley Nichols
1935,The Lives of a Bengal Lancer ,"Screenplay by Waldemar Young, John L. Balderston, Achmed Abdullah; Adaptation by Grover Jones, William Slavens McNutt"
1935,Mutiny on the Bounty ,"Talbot Jennings, Jules Furthman, Carey Wilson [Second]"
1935,David Wark Griffith,
1936,Gary Cooper,Mr. Deeds Goes to Town
1936,Walter Huston,Dodsworth
1936,Paul Muni,The Story of Louis Pasteur
1936,William Powell,My Man Godfrey
1936,Spencer Tracy,San Francisco
1936,Mischa Auer,My Man Godfrey
1936,Walter Brennan,Come and Get It
1936,Stuart Erwin,Pigskin Parade
1936,Basil Rathbone,Romeo and Juliet
1936,Akim Tamiroff,The General Died at Dawn
1936,Irene Dunne,Theodora Goes Wild
1936,Gladys George,Valiant Is the Word for Carrie
1936,Carole Lombard,My Man Godfrey
1936,Luise Rainer,The Great Ziegfeld
1936,Norma Shearer,Romeo and Juliet
1936,Beulah Bondi,The Gorgeous Hussy
1936,Alice Brady,My Man Godfrey
1936,Bonita Granville,These Three
1936,Maria Ouspenskaya,Dodsworth
1936,Gale Sondergaard,Anthony Adverse
1936,Anthony Adverse ,Anton Grot
1936,Dodsworth ,Richard Day
1936,The Great Ziegfeld ,"Cedric Gibbons, Eddie Imazu, Edwin B. Willis"
1936,Lloyds of London ,William S. Darling
1936,The Magnificent Brute ,"Albert S. D'Agostino, Jack Otterson"
1936,Romeo and Juliet ,"Cedric Gibbons, Fredric Hope, Edwin B. Willis"
1936,Winterset ,Perry Ferguson
1936,Anthony Adverse ,William Cannon
1936,The Charge of the Light Brigade ,Jack Sullivan
1936,The Garden of Allah ,Eric G. Stacey
1936,The Last of the Mohicans ,Clem Beauchamp
1936,San Francisco ,Joseph Newman
1936,Anthony Adverse ,Gaetano Gaudio
1936,The General Died at Dawn ,Victor Milner
1936,The Gorgeous Hussy ,George Folsey
1936,Busby Berkeley,Love and War number from Gold Diggers of 1937
1936,Bobby Connolly,1000 Love Songs number from Cain and Mabel
1936,Seymour Felix,A Pretty Girl Is Like a Melody number from The Great Ziegfeld
1936,Dave Gould,Swingin' the Jinx number from Born to Dance
1936,Jack Haskell,Skating Ensemble number from One in a Million
1936,Russell Lewis,The Finale number from Dancing Pirate
1936,Hermes Pan,Bojangles of Harlem number from Swing Time
1936,Dodsworth ,William Wyler
1936,The Great Ziegfeld ,Robert Z. Leonard
1936,Mr. Deeds Goes to Town ,Frank Capra
1936,My Man Godfrey ,Gregory La Cava
1936,San Francisco ,W. S. Van Dyke
1936,Anthony Adverse ,Ralph Dawson
1936,Come and Get It ,Edward Curtiss
1936,The Great Ziegfeld ,William S. Gray
1936,Lloyds of London ,Barbara McLean
1936,A Tale of Two Cities ,Conrad A. Nervig
1936,Theodora Goes Wild ,Otto Meyer
1936,Anthony Adverse ,"Warner Brothers Studio Music Department, Leo Forbstein, head of department  (Score by Erich Wolfgang Korngold)"
1936,The Charge of the Light Brigade ,"Warner Brothers Studio Music Department, Leo Forbstein, head of department  (Score by Max Steiner)"
1936,The Garden of Allah ,"Selznick International Pictures Music Department, Max Steiner, head of department  (Score by Max Steiner)"
1936,The General Died at Dawn ,"Paramount Studio Music Department, Boris Morros, head of department  (Score by Werner Janssen)"
1936,Winterset ,"RKO Radio Studio Music Department, Nathaniel Shilkret, head of department  (Score by Nathaniel Shilkret)"
1936,"""Did I Remember"" from Suzy",Music by Walter Donaldson; Lyrics by Harold Adamson
1936,"""I've Got You Under My Skin"" from Born to Dance",Music and Lyrics by Cole Porter
1936,"""A Melody From The Sky"" from Trail of the Lonesome Pine",Music by Louis Alter; Lyrics by Sidney Mitchell
1936,"""Pennies From Heaven"" from Pennies from Heaven",Music by Arthur Johnston; Lyrics by Johnny Burke
1936,"""The Way You Look Tonight"" from Swing Time",Music by Jerome Kern; Lyrics by Dorothy Fields
